endline,n,perc,item
0,55,0.7142857142857143,Political situation
1,86,0.8269230769230769,Political situation
0,47,0.6103896103896104,Social situation
1,87,0.8529411764705882,Social situation
0,45,0.5844155844155844,Economic situation
1,82,0.803921568627451,Economic situation
